text,label
"""Toyota Vios Gen 4:
ğŸ¤«ssssssttt!!!! (suara diam)",positif
Vios adalah versi sedan dari Veloz krn dasbornya mirip Veloz.,positif
Radius putarnya masih boros gak ya...kayak vios gen 3. Pe er banget klo mau putar arah,negatif
"Iya, mungkin tahun ini atau tahun depan",negatif
"@HAEMEN4Â  ngapain beli toyota bro, mending beli raize",negatif
Nah tampilan ğŸ‘Œ,positif
Vios yang paling laku vios gen 1 dan gen 2,positif
Keren nie sihh,positif
Civic versi toyota hahahha,negatif
Warna itemnya pasti cakep,positif
"kan 1 mesin buat rame2, avanza, veloz, xenia, rush, terios dll",netral
JD pengen ganti Ayla dengan vios,positif
Vios bukan lagi taxi ğŸ˜,positif
Udah bagus gini masih ada aja yg malu pake. Cuma gegara cap mobil taksi. Pola pikir yg nyeleneh,positif
Cakep warna hitamnyağŸ˜,positif
"Ngak ada fog Lamp depan dan belakang......... ğŸ˜’ğŸ˜’ğŸ˜’, Jepang emang kadang2, Makin canggih sektor lain, Yg existing malah di hilangkan... ğŸ˜’ğŸ˜’ğŸ˜’",negatif
"SEMOGA TAUN DEPAN BISA KEBELI MOBIL INI,AMIN",positif
Suhu ... mo tanya Toyota Vios AT atau CVT y ...,netral
Ngeri ngeri sedap ga sih kl beli ini eh trs dipake Taxi lgi ğŸ˜¢,negatif
Kalah power aja kali ya dgn Bu Siti,negatif
"jadi keren vios sekarang ya, model desainnya lebih ke eropa dan mirip bgt sama Lexus",positif
"""Tipe E saja masih menggoda sekali, salah satunya adalah pedal kopling yang ada di sebelah kiri, pedal kegemaran yang sering diinjak setelah pedal gas

Inilah yang paling kusukai dari Toyota Vios Tipe E walaupun bukan varian yang paling dipakai sebagai armada taksi tapi sangat menggoda untuk dikendarai sendiri bahkan orang lain sekalipun",positif
Harga ny brp baru ny itu bg?,netral
Keren tapi sayangnya untuk taxi,positif
Ok jugak mobilnya mantap,positif
Avanza gepenkğŸ˜‚,negatif
"""Lompatan jauh ya utk Vios kekinian
ğŸ‘ğŸ‘",positif
"Depan Camry, samping & belakang BMW, interior Mazda, velgnya BMW banget. Cmiiw",negatif
wahhh kece sihh keren parahh tinggal ganti logo lexus jg org percaya wkwkwkw,positif
"padahal naksir sama vios gen4 ini, pas liat reviewnya kecewa karna OM MOBI MANA ?!!!! OM MOBI REVIEW ULANG LAH PLEASE ğŸ™",positif
"Malah downgrade ini, bahan daihatsu. Banyak common part sama xenia rocky",negatif
Harga..,netral
Tetep ajah Vios mobil taxi yang berimbang d masyrkt,negatif
Anying toyota race mobil paan tuh,negatif
Niru honda new BRV haha,negatif
tetap beraroma taxi,negatif
"""vios  makin mengembangkqn fitur2 nya.
yg bagus2  ya..",positif
Ini kenapa headrest belakang jadi paten? Down grade nih...,negatif
Naahh...begini seharusnya Vios ğŸ‘ğŸ‘,positif
Yaah kita tau Toyota males berinovasi dan harga mkin Overprice. Semoga dgn hadirnya wuling bisa bkin mereka buka mata,negatif
Design luarannya lebih uncle2,negatif
"""kok boros ya 11.2 Km/L. padahal CVT.

Vios Gen 1 Saya selalu 15 Km/L.",negatif
Keren,positif
Fake taxy,negatif
"MANTAP, Lawa",positif
Kekurangannya di bagian belakang sempit,negatif
Aku pilih Vios sih kalo dari Desain,positif
Pertanyaan: Siapakah yang menyalakan mesin dan lampunya?,netral
Klau ada panoramic sunroff.keren nih vios,positif
Pajaknya kisaran brp ya,netral
Perfect ğŸ«°ğŸ«°ğŸ«°ğŸ«°,positif
"Avanza,vios kesan taxi",negatif
"kalau saya malah suka bagian ini. Memang tidak selalu saya tonton, tapi untuk mobil yang ingin saya beli pasti saya cek detail speedometernya di video om B",positif
"Bang gk ad trnmisi mnualnya,",netral
selama pendapatan ikut nambah sih gak masalah,netral
"Empuk,enak buat bawa tamu",positif
"@HAEMEN4Â  ngapain beli toyota bro, mending beli raize",negatif
Cityâ€¦ nyamannn,negatif
belakangnya bagus... depannya ga banget.. gua rasa akan lebih bagus klo posisi lampu depan di hilangkan.. lampunya pindah ke GARIS melintang yg nempel logo itu ( kayak mobil listrik ) pasti lebih bagus.  gua udah coba hapus posisi lampu depan pake photoshop dna bikin garis melintang itu lampu LED jadinya KEREN kayak mobil pininfarina,positif
Lekukan nya manis bgt,positif
"Warna hitam itu warna nomber one buat saya,   sk dng mode vios ini",positif
ganteng banget,positif
Cek harga & Pajak tahunan nya,netral
"@xtmilo23Â  ğŸ˜Š yg lebih lega Wuling, sesuaikan kebutuhan .",negatif
Aku pilih Vios sih kalo dari Desain,positif
Toyota vios g tss,netral
"Klw di tanya mobil mu apa, vios, pasti di bilang mobil taxi ya, heheğŸ˜‚",netral
Cakep banget ni mobil jadi pengen beli tapi belum ada uang ğŸ˜,positif
"Wih mantap toyota, vios makin keren",positif
"Jadi mikir, apakah akan ada vios gr?",netral
"cakep ya, tp sedikit di jalan",positif
ya tuhan pantes ayah aku ngomong terus terusan pengen mobil vios ternyata mobil nya emamg se bagus itu simpel ganteng mobil nya gak berlebihanâ¤,positif
"klo design gw lebih suka design nya ini sih dibanding city, aksen2 ny sporty bgt",positif
Ini baru Toyota Vios Semoga tidak jadi taksi lagi,positif
cakep bgt sih menurut saya ğŸ˜‚,positif
Wah-wah ternyata harga Vios termahal dengan segudang fitur masih lebih murah dari Honda City lho.,positif
Asslamualaikum warohmautullah hi wabarokatuh,netral
"@weeeklyindonesia0630Â mungkin ngk kepake buat bbrp orang. cuman kn klo ada, bagus aja. tombol2 ny lengkap. enak dilihat",positif
"Mending beli vios baru atau Pajero Sport Dakar 2016/2017 second  ? 
Secara harga mirip""",netral
kayak Avanza baru versi sedannya.,negatif
@boy_92Â  mantab bos kl gt ğŸ‘,positif
The real Daihatsu Classy,negatif
"Sayang banget ga TNGA, tapi okelah bisa jadi whislist 2023.",negatif
"Belum 100% lengkap sih, minus front defogger aja. Tapi masih lebih baik daripada Veloz yg gaada arah semburan AC sama sekali.",negatif
lebih enak di liat MG 5 GT,negatif
Tetep aja males klo namanya masih vios,negatif
Ini sama hrv bgus mana,netral
Tampang depannya aneh,negatif
"â€‹Â @Azhariputra666Â  yaelah kaum mendang mending. Punya duit mending ambil camry lah, masa beli toyota, uda pasaran.",negatif
Awesome,positif
"Emang sekarang rata-rata mobil sekarang bakal pake fitur safety sensenya. Dan kalau chip semi konduktornya udah aman, kemungkinan fitur ini bakalan jadi fitur standarnya di semua varian mobil",netral
"Cakep interiornya dan modern juga, kalau yang di Thailand itu bahan kulit doortrim dan dashboard berwarna merah jadi ngingetin Mazda 3 Hatchback. Oh iya, TSS sekarang sepaket dengan 6 airbagnya bukan hanya sekedar radar-radar.",positif
Adaptive Cruise control apa sudah low speed follow,netral
Avanza versi sedan,negatif
Seat belt nya jd gk bisa naik turun lagi y ğŸ˜‚ğŸ˜‚ğŸ˜‚,negatif
"""Jok belakang tidak bisa dilipat lagi? 
Buset... downgrade gitu?",negatif
Ini baru Daihatsu Classy,negatif
Min brp pajak pertahun nya min,netral
Mirip2 Audi A6 jadul eksteriornya â€¦ ğŸ˜‚ğŸ˜‚ğŸ˜‚,negatif
"Vios yang ini keliatan beda... kaya BMW, bukan kayak Vios lagi..",negatif
Keren,positif
Vios masa.kini semakin cakep,positif
"""vios sama altis makin ganteng sekarang.

keren emang toyota",positif
Nah gitu dongğŸ‘ğŸ¼,positif
"tunggu varian GR nya.. bakal Keren Abizzz, ga kalah sama AGYA GR",positif
Cakep bngt Vios yg skg ...,positif
Mas kalau mau beli vios baru mungkin bisa ke aku ğŸ™ğŸ»,positif
Gen 3/4 versi vios yang paling sangar ğŸ˜„,positif
Mobil Taksi bisa secanggih ini ?,positif
Sudah bukan mobil taksi â˜ï¸ğŸ˜³,positif
"Tetap aja ngk ada foglamp, suasana interior, jok dan multi display kurang greget.",negatif
Jadi lebih keren macem kya camry,positif
Ko keren sih ni mobil....,positif
"""sangat disayangkan semua mobil generasi terbaru sudah tidak ada temperature nya lagi, dan hanya mengandalkan sensor menyala merah bila sudah terlanjur overheat.

sungguh inovasi yg salah kaprah.
bagaimanapun juga memiliki temperature dengan jarum sangatlah penting, karena kita bisa waspada sebelum overheat bila jarum naik lebih dr biasanya.

inovasi masa kini yg bikin kecewa!",negatif
Diindonesia vios 2022 ga ada ya? Version 4? Kalau dalam video ini version 5,netral
vios tiap generasi nya makin ganteng aja apa lagi yg ini jadi terlihat lebih mahal di banding kelas nya,positif
Punggung kura kura nya emang mirip MG ya,negatif
mantap,positif
Sejujurnya desainnya lebih modern. Jujur untuk transmisi masih bagusan Manual,positif
"ga lah ini terlalu keren, sekarang taksi pake avanza",positif
Vios sekarang gaada type manualnya ya?,netral
"waahhh, vios baru!! pas banget lagi cari vios 1 minggu ini.. Bismillah, bisa yookkk",positif
Istimewa,positif
Vios sdh identik mobil taxi,negatif
Ini Toyota Vios kalau logonya diganti Daihatsu langsung berubah nama jadi Daihatsu Classy,negatif
"""semoga jadi taksi biar harga jual secondnya murah.. kita"""" suka vios",positif
Avanza sedan,negatif
Edisi vios paling tjakep,positif
Vios gen 1 Dan 2 lebih bertenaga,positif
"Bagus banget, tapi gk tau kenapa udah terlanjur jatuh cinta sama honda city.",positif
"Pajak udh lebih murah mas... Cuma emg sengaja sama APM nya dimahalin harga sedan, soalnya ga laku sedan jadi sekalinya laku cuannya gede banget",netral
Nyimak..,netral
"Sayang banget transmisi nya diganti ke CVT, padahal ngarepnya AT 5, bakalan enak bgt pakai padle shift.",negatif
Ya memang ini daihatsu classy reborn,negatif
@anggia.2573Â  makasih om,netral
"Kalo selera saya, style eksterior nya lebih gagah Vios Gen 3. Untuk yang terbaru Gen 4 eksteriornya terkesan kurang halus  bahannya.  Makanya saya tetap bertahan pake Gen 3.",netral
"Yang Non-TSS Ini Hanya Digunakan Saat Pergi-Pulang Kantor, Terutama Bapak-Bapak.",netral
ini orang presentasinya bagus,positif
"""desain toyota skg lbh bagus. meng""""kotak2"""". agak ke Lexus. ğŸ‘",positif
mobil irit buat harian santai ya vios,positif
Ya Allah semoga bisa kesampaian beliğŸ˜Š,positif
Mobil taxi jadi lebih mewah,positif
Ga ada foglamp?,negatif
Kayanya fog lamp ga ada ya? Padahal sangat bermanfaat membantu cahaya utk melihat objek yang dekat kalo sering jalan malam,negatif
"Cakep vios generasi ini. Tidak keliatan mobil sedan ""murah""",positif
Walau bukan user vios... Tpi suka kesel kalau ada yg bilang vios mobil taksi...lah mereka kurang jauh aja maennya gk tau kalau alpard & mercy jga mobil taksi...bahkan waktu dlu gw ke thailand lambo jdi taksi,positif
Daihatsu Charade Reborn...,negatif
Syg bngt kursi ke2 sempit..,negatif
Sayang sudah tidak diproduksi di Indonesia lagi,netral
boros amat ya 6.5 km/ L?,negatif
Lebih tepatnya ini Daihatsu Classy reborn,negatif
Harga melambung tinggi,negatif
Mantul kali,positif
"Ada 1 versi lagi habis versi 3 om, entah itu facelift atau beda versi. Tapi yg jelas mesin udh NR",netral
sayang gada manual nya.. ğŸ˜¢,negatif
Bagus ini Mobil,positif
"Entah kenapa, mobil ini kok terasa over-price. Nunggu sekennya aja, 10 tahun lagi.",negatif
lumayan menarik,positif
"""Mobilnya keren
https://youtu.be/_MqyS-tMlek",positif
mobil ga enak,negatif
Makin keren aja ya nyesel gw beli brio,positif
Bentuk nya aneh krn toyota pake bahan dari avanza,negatif
Daihatsu termahal,negatif
"kemaren baru aja liat ini mobil di jalan, liat stop lamp belakang auto suka cakep banget asli",positif
Terlalu gelap bang ga bisa lihat,negatif
kerenn vios yang terbaru ğŸ¥¹,positif
Lebih ganteng lg klo steer Vios 2018 dipindah ke Vios 2023 ini.,positif
ganteng juga ya Vios sekarang,positif
"Bagasi sandaran tempat suduk belakang bisa dilipat jadi bagasi lebih luas,mohon pahami.",positif
Enak mana dengan honda city,netral
Vios Heatback  lebih keren...,positif
"Wah keren si Vios yg terbaru 2022,udh mewah,fitur pun lengkap.jdi kepingin punyağŸ˜ğŸ˜",positif
bukannya vios ini generasi ke 5 y om? gen 4 ada lg yg mukanya mirip sama ky yaris terakhir,netral
Harga brapa mang?,netral
aslinya udh keren tpi klo di modif dkit lagi pasti jdi lebih kerenğŸ‘,positif
Ya Allah semoga bisa punyağŸ˜ŠğŸ˜Š,positif
"""Sebenarnya fitur nya bagus, dan ga keliatan DNGA banget (I speak to you TAM about arah semburan AC)

Sayangnya, skema pajak sesuai emisi yang bikin sedan harusnya jadi lebih murah, malah sama aja

Apa karena takut positioning sama mobil kacang goreng terganggu ya? ğŸ« ",positif
Keren dan ini,positif
keren banget sih ini. suka design2 toyota,positif
Vios!!,positif
Banyak downgrade nya ini dari sebelumnya,negatif
Mirip banget Camry,negatif
bused podclamp depan ya mirip lexus/audi R8,negatif
keren deh..,positif
Udah discontinue ğŸ¥²,negatif
Wihh keren keren vios 2023 tapi tetep fun GE8 ğŸ˜,positif
Cek Harga & pajak tahunan nya,negatif
Mahal juga ya,negatif
Asli keren bgt Vios yg ini ğŸ‘ğŸ‘....city sedan kalah ğŸ˜€ğŸ˜€,positif
Jauh lebih keren city HB. Ini agak kayak kebapack bapack,negatif
"Aku minat bnget malaah kak, cuma belum ada uang aja ğŸ˜…",positif
Mantap bikin sya ganti mobil nih boss...tp danaku blm lngkap bosss,positif
Mantapppp,positif
"Lebih kayak Raize di jadiin sedan, kokpitnya hampir identik ğŸ˜‚ğŸ˜‚",negatif
Ini sagat bagus tapih kadang harganya kemahalan,positif
Mobil yang dijadikan taksi itu berarti cocok untuk keliling dunia. Bandel mesinnya,positif
Vios g 2011 nyimak,netral
Mantaaaabb,positif
TAXi !,negatif
bagus pdhl tapi kok toyota kek gk niat jualan vios yak pdhl bentuk nya bagus,negatif
Hihihii..... Kapan nih toyota vios ngeluarin versi TRD sportivo/GR sport? Kayaknya kalau GR sport tuh pasti eksteriornya dikasih side skirt + fog lamp LED,netral
"""Hampir beli MG5 GT..
Ternyata lebih aman ambil ini",negatif
"""Saya pake vios gen 3 emang bener om parah banget traffic noise nya ganggu. 
Mau nanya ni om, untuk gen 4 ini kalo kita u turn gmna beloknya patah gk ya? Kalau selama ini gen 3 saya pake, u turnnya gk bisa patah dan itu menggangu -_-",netral
"tapi vios baru rada sempit , masih lebih lega city",negatif
Cocok untuk anak kecil sahaja duduk di belakang.,negatif
ada yg versi manual nya ga min?,netral
300jtan mending Honda City ngga sih om ğŸ˜,negatif
"""Orang Indonesia beli Toyota, yang dapet cuan banyak Daihatsu.
Mulai dari Avanza, Veloz, Calya, Agya, Rush, Raize, skrg Vios. DITAMBAH ntar Yaris Cross isunya mau pakai platform Daihatsu wkwkwk",netral
"Sudah bbrpa bulan beredar, tp belum lihat dijalanan",netral
Uda beda banget kan ama vios lama ?,netral
Vios tahun berapa ?,netral
"""KELEMAHANNYA CUMA 1. HEAD UNIT ATAU MONITOR TV NYA KAYAK TV TABUNG, GENDUT BANGET BELAKANG LAYAR MONITORNYA.

KALO LAYAR MONITOR YG VERSI THAILAND NYA LEBIH ELEGANT, BAGUS KELIATAN MOBIL MAHAL.",negatif
"""KELEMAHANNYA CUMA 1. HEAD UNIT ATAU MONITOR TV NYA KAYAK TV TABUNG, GENDUT BANGET BELAKANG LAYAR MONITORNYA.

KALO LAYAR MONITOR YG VERSI THAILAND NYA LEBIH ELEGANT, BAGUS KELIATAN MOBIL MAHAL.",negatif
duuuh males pake sedan,negatif
TRD = Toyota Rasa Daihatsu,negatif
"Saya baru beli vios 2023 G TSS, tapi ga tau caranya untuk connect ke apple CarPlay wireless :(",netral
Daihatsu Classy reborn,negatif
"Kayaknya yariz next gen bakalan mirip kayak vios ini depannya, Secara dr dulu vios selalu mirip sama yariz. Bedanya cuman vios sedan yariz hatchback.",negatif
Speedometernya saat start up engine malah lebih bagus daripada innova zenix Q hybrid karena dikasih animation sementara innova terbaru malah disunat animationnya. Tapi sayang gak ada fog lamp ya sama spion belum auto diming bahkan utk sampai G TSS. Mungkin harus tunggu vios GR sport ya biar ada fog lamp,netral
buat yg mau beli psti prlu bgian ini..yg gk beli mmg bosan,netral
Jadi taksi lg ganih?,netral
"bukan ngga keluar bang yang versi taksi, tapi belum keluar aja versi limonya...wkwkwk",netral
Kl punya uang ttp pilih hyundai walaupun saat ini ms toyota,negatif
Ga ada foglamp,negatif
sangat daihatsu lol,negatif
"""Analisa pribadi
Karena munculnya avanza dan veloz lebih dahulu daripada vios ini, menurut saya ada beberapa kemiripan desain dan fitur
1. Gril radiator super besar di depan= mirip avanza
2. Garis super panjang yang ditarik dari lampu depan hingga lampu belakang melewati handle pintu= mirip avanza dan veloz
3. Setir = mirip avanza dan veloz
4. Fitur tss= mirip veloz tss
5. Transmisi= mirip avanza dan veloz
6. Rem parkir elektrik= mirip veloz
7. 2 usb port baris ke 2= mirip avanza dan veloz
8. Mesin= mirip avanza dan veloz
9. Platform TNGA = mirip avanza dan veloz
10. Varian = mirip avanza
11. Panel ac = mirip veloz (ada penambahan arah semburan ke kaki)
12. Cuff holder kiri depan = mirip avanza",negatif
sadar gaksi kalo headunitny sama kek zenix g,negatif
Garis bodynya mirip civic turbo,negatif
Gila harga segitu sun visor masi polos di sisi penumpang depan....ckckck,negatif
Mirip MG5,negatif
serius broooo?????,netral
Kode mesinnya apa Om?,netral
Ini mesinnya sama dg avxen atau beda ?,netral
Fix toyota camry low budget sih .... (Bagi gw),negatif
"""TOYOTA SELALU GAGAL MEMBUAT GRIL DEPAN YANG MEWAH..

GRIL NYA JELEEKKK..",negatif
"""masih lebih menang altis lah bro, ada armrest belakang, vanity mirror lengkap sama ada hud juga diatas speedometer, tirai belakang, jok elektrik, jok kulit full, dan tampilan lebih mewah

diliat dulu speknya sebelum komen ğŸ™",negatif
Blokkkkk,negatif
Cabe aja mahal  apalagi mobil.... wkwkwkwk,negatif
Semoga ada versi hybridnya,netral
Brpa yaa harga baru nya,netral
Inilah daihatsu classy yang sebenarnya,negatif
Kalah power aja kali ya dgn Bu Siti,negatif
"""Tentunya belum

Tapi ada saja sdh lumayan sebenarnya.",netral
MG 5 lebih keren,negatif
Masih kurang oke..gak tau kalau liat aslinya..,negatif
"Transmisi cvt model tiptronik???,,,wakakakakak,, fungsinya apa??,,agar responsif???? ğŸ¤£ğŸ¤£ğŸ¤£ğŸ¤£ğŸ¤£ğŸ¤£ğŸ¤£ğŸ¤£ğŸ¤£",negatif
"kaya nya penjualan nya ga bakal bagus deh, type vios udah trademark banget sama armada taxi..",negatif
"Generasi keduanya malah lebih jelek nggak sih, yaris banget",negatif
"""Desain depannya """"wagu"""" & kaku plus garis-garisnya ga nyambung,tabrakanğŸ‘ğŸ˜Œ",negatif
"kn itu masalah teknis doang,misal jika temperatur melebihi setengah katakanlah 100 C maka itu udh overheat dan mobil harus dimatikan,ya disensor yg make lampu jg gtu kok,kl udh ngebaca suhu diatas normal dia nyala,sama aja kok cuma dibikin lebih modern dan trlihat minimalis aja di speedometernya",netral
